"Path","Lines","Dir"
"Assets\Scripts\Authentication\AuthFactory.cs","27","\CardGame\PokemonCardGame\Assets\Scripts\Authentication"
"Assets\Scripts\Authentication\AuthManager.cs","261","\CardGame\PokemonCardGame\Assets\Scripts\Authentication"
"Assets\Scripts\Authentication\FirebaseAuthService.cs","631","\CardGame\PokemonCardGame\Assets\Scripts\Authentication"
"Assets\Scripts\Authentication\FirebaseFirestoreService.cs","1631","\CardGame\PokemonCardGame\Assets\Scripts\Authentication"
"Assets\Scripts\Authentication\FirebaseInitializer.cs","97","\CardGame\PokemonCardGame\Assets\Scripts\Authentication"
"Assets\Scripts\Authentication\Interfaces\IAuthFactory.cs","23","\CardGame\PokemonCardGame\Assets\Scripts\Authentication\Interfaces"
"Assets\Scripts\Authentication\Interfaces\IAuthProvider.cs","15","\CardGame\PokemonCardGame\Assets\Scripts\Authentication\Interfaces"
"Assets\Scripts\Authentication\InternetChecker.cs","201","\CardGame\PokemonCardGame\Assets\Scripts\Authentication"
"Assets\Scripts\Authentication\Providers\Anonymous\AnonymousProvider.cs","83","\CardGame\PokemonCardGame\Assets\Scripts\Authentication\Providers\Anonymous"
"Assets\Scripts\Authentication\Providers\Anonymous\AnonymousSignInController.cs","71","\CardGame\PokemonCardGame\Assets\Scripts\Authentication\Providers\Anonymous"
"Assets\Scripts\Authentication\Providers\Google\AuthResponseHandler.cs","401","\CardGame\PokemonCardGame\Assets\Scripts\Authentication\Providers\Google"
"Assets\Scripts\Authentication\Providers\Google\FirebaseSignInController.cs","71","\CardGame\PokemonCardGame\Assets\Scripts\Authentication\Providers\Google"
"Assets\Scripts\Authentication\Providers\Google\GoogleProvider.cs","197","\CardGame\PokemonCardGame\Assets\Scripts\Authentication\Providers\Google"
"Assets\Scripts\Authentication\Providers\Google\GoogleSignInController.cs","113","\CardGame\PokemonCardGame\Assets\Scripts\Authentication\Providers\Google"
"Assets\Scripts\Authentication\Providers\Mail\EmailProvider.cs","157","\CardGame\PokemonCardGame\Assets\Scripts\Authentication\Providers\Mail"
"Assets\Scripts\Authentication\Providers\Mail\EmailSignInController.cs","71","\CardGame\PokemonCardGame\Assets\Scripts\Authentication\Providers\Mail"
"Assets\Scripts\Buttons\ParallelogramButton.cs","113","\CardGame\PokemonCardGame\Assets\Scripts\Buttons"
"Assets\Scripts\Buttons\ParallelogramContainer.cs","131","\CardGame\PokemonCardGame\Assets\Scripts\Buttons"
"Assets\Scripts\Buttons\TopButtonPanel.cs","57","\CardGame\PokemonCardGame\Assets\Scripts\Buttons"
"Assets\Scripts\Buttons\?ustomizableButton.cs","187","\CardGame\PokemonCardGame\Assets\Scripts\Buttons"
"Assets\Scripts\Card\ActionScripts\CardAttackExecutor.cs","427","\CardGame\PokemonCardGame\Assets\Scripts\Card\ActionScripts"
"Assets\Scripts\Card\ActionScripts\CardClickScript.cs","55","\CardGame\PokemonCardGame\Assets\Scripts\Card\ActionScripts"
